Sample,Output_Q31,Output_Float
136,-2,-0.0000000
137,-5,-0.0000000
138,-4,-0.0000000
139,0,0.0000000
140,3,0.0000000
141,2,0.0000000
142,-2,-0.0000000
143,-5,-0.0000000
144,-4,-0.0000000
145,0,0.0000000
146,3,0.0000000
147,2,0.0000000
148,-2,-0.0000000
149,-5,-0.0000000
150,-4,-0.0000000
151,0,0.0000000
152,3,0.0000000
153,2,0.0000000
154,-2,-0.0000000
155,-5,-0.0000000
156,-4,-0.0000000
157,0,0.0000000
158,3,0.0000000
159,2,0.0000000
160,-2,-0.0000000
161,-5,-0.0000000
162,-4,-0.0000000
163,0,0.0000000
164,3,0.0000000
165,2,0.0000000
166,-2,-0.0000000
167,-5,-0.0000000
168,-4,-0.0000000
169,0,0.0000000
170,3,0.0000000
171,2,0.0000000
172,-2,-0.0000000
173,-5,-0.0000000
174,-4,-0.0000000
175,0,0.0000000
176,3,0.0000000
177,2,0.0000000
178,-2,-0.0000000
179,-5,-0.0000000
180,-4,-0.0000000
181,0,0.0000000
182,3,0.0000000
183,2,0.0000000
184,-2,-0.0000000
185,-5,-0.0000000
186,-4,-0.0000000
187,0,0.0000000
188,3,0.0000000
189,2,0.0000000
190,-2,-0.0000000
191,-5,-0.0000000
192,-4,-0.0000000
193,0,0.0000000
194,3,0.0000000
195,2,0.0000000
196,-2,-0.0000000
197,-5,-0.0000000
198,-4,-0.0000000
199,0,0.0000000
200,3,0.0000000
201,2,0.0000000
202,-2,-0.0000000
203,-5,-0.0000000
204,-4,-0.0000000
205,0,0.0000000
206,3,0.0000000
207,2,0.0000000
208,-2,-0.0000000
209,-5,-0.0000000
210,-4,-0.0000000
211,0,0.0000000
212,3,0.0000000
213,2,0.0000000
214,-2,-0.0000000
215,-5,-0.0000000
216,-4,-0.0000000
217,0,0.0000000
218,3,0.0000000
219,2,0.0000000
220,-2,-0.0000000
221,-5,-0.0000000
222,-4,-0.0000000
223,0,0.0000000
224,3,0.0000000
225,2,0.0000000
226,-2,-0.0000000
227,-5,-0.0000000
228,-4,-0.0000000
229,0,0.0000000
230,3,0.0000000
231,2,0.0000000
232,-2,-0.0000000
233,-5,-0.0000000
234,-4,-0.0000000
235,0,0.0000000
236,3,0.0000000
237,2,0.0000000
238,-2,-0.0000000
239,-5,-0.0000000
240,-4,-0.0000000
241,0,0.0000000
242,3,0.0000000
243,2,0.0000000
244,-2,-0.0000000
245,-5,-0.0000000
246,-4,-0.0000000
247,0,0.0000000
