Sample,Output_Q31,Output_Float
469,2881,0.0000013
470,3938,0.0000018
471,1064,0.0000005
472,-2879,-0.0000013
473,-3959,-0.0000018
474,-1089,-0.0000005
475,2873,0.0000013
476,3976,0.0000019
477,1110,0.0000005
478,-2871,-0.0000013
479,-3997,-0.0000019
480,-1135,-0.0000005
481,2865,0.0000013
482,4014,0.0000019
483,1156,0.0000005
484,-2863,-0.0000013
485,-4035,-0.0000019
486,-1181,-0.0000005
487,2857,0.0000013
488,4053,0.0000019
489,1203,0.0000006
490,-2856,-0.0000013
491,-4076,-0.0000019
492,-1228,-0.0000006
493,2852,0.0000013
494,4093,0.0000019
495,1247,0.0000006
496,-2851,-0.0000013
497,-4113,-0.0000019
498,-1271,-0.0000006
499,2843,0.0000013
500,4128,0.0000019
501,1294,0.0000006
502,-2837,-0.0000013
503,-4147,-0.0000019
504,-1321,-0.0000006
505,2827,0.0000013
506,4162,0.0000019
507,1344,0.0000006
508,-2821,-0.0000013
509,-4181,-0.0000019
510,-1371,-0.0000006
511,2811,0.0000013
512,4196,0.0000020
513,1394,0.0000006
514,-2805,-0.0000013
515,-4215,-0.0000020
516,-1421,-0.0000007
517,2795,0.0000013
518,4229,0.0000020
519,1443,0.0000007
520,-2788,-0.0000013
521,-4246,-0.0000020
522,-1469,-0.0000007
523,2777,0.0000013
524,4259,0.0000020
525,1490,0.0000007
526,-2771,-0.0000013
527,-4275,-0.0000020
528,-1514,-0.0000007
529,2761,0.0000013
530,4287,0.0000020
531,1534,0.0000007
532,-2755,-0.0000013
533,-4303,-0.0000020
534,-1559,-0.0000007
535,2744,0.0000013
536,4316,0.0000020
537,1581,0.0000007
538,-2737,-0.0000013
539,-4333,-0.0000020
540,-1607,-0.0000007
541,2725,0.0000013
542,4345,0.0000020
543,1630,0.0000008
544,-2716,-0.0000013
545,-4360,-0.0000020
546,-1656,-0.0000008
547,2702,0.0000013
548,4370,0.0000020
549,1678,0.0000008
550,-2692,-0.0000013
551,-4384,-0.0000020
